SRC IP,DST IP,SRC PORT,DST PORT,TIME,CLUSTER
127.0.0.1,127.0.0.1,6633,34320,1594193768,0
127.0.0.1,127.0.0.1,6633,34320,1594193769,0
127.0.0.1,127.0.0.1,6633,34320,1594193769,0
127.0.0.1,127.0.0.1,6633,34320,1594193769,0
127.0.0.1,127.0.0.1,6633,34320,1594193769,0
127.0.0.1,127.0.0.1,34320,6633,1594193768,1
127.0.0.1,127.0.0.1,34320,6633,1594193768,1
127.0.0.1,127.0.0.1,34320,6633,1594193768,1
127.0.0.1,127.0.0.1,34320,6633,1594193769,1
127.0.0.1,127.0.0.1,34320,6633,1594193769,1
127.0.0.1,127.0.0.1,34320,6633,1594193769,1
127.0.0.1,127.0.0.1,34320,6633,1594193769,1
